Symbol,Sector
MTRN,Capital Goods
MATW,Capital Goods
MCFT,Capital Goods
MDR,Capital Goods
MRCY,Capital Goods
MTH,Capital Goods
MTOR,Capital Goods
MLAB,Capital Goods
MEI,Capital Goods
MTD,Capital Goods
MICT,Capital Goods
MVIS,Capital Goods
MLR,Capital Goods
MSON,Capital Goods
MKSI,Capital Goods
MINI,Capital Goods
MOD,Capital Goods
MPAA,Capital Goods
MRC,Capital Goods
MSM,Capital Goods
MTSC,Capital Goods
MLI,Capital Goods
MWA,Capital Goods
NANO,Capital Goods
NPK,Capital Goods
SID,Capital Goods
NAV,Capital Goods
NAV^D,Capital Goods
NCS,Capital Goods
NEON,Capital Goods
NWHM,Capital Goods
NFEC,Capital Goods
NNBR,Capital Goods
NDSN,Capital Goods
NSYS,Capital Goods
NTIC,Capital Goods
NOC,Capital Goods
NVMI,Capital Goods
NVR,Capital Goods
OFLX,Capital Goods
OA,Capital Goods
ORBK,Capital Goods
OSK,Capital Goods
OC,Capital Goods
PCAR,Capital Goods
PACB,Capital Goods
PH,Capital Goods
PKOH,Capital Goods
PRCP,Capital Goods
PKI,Capital Goods
PPIH,Capital Goods
PGTI,Capital Goods
PII,Capital Goods
PRPO,Capital Goods
PRLB,Capital Goods
PHM,Capital Goods
NX,Capital Goods
PWR,Capital Goods
QTRX,Capital Goods
RAVN,Capital Goods
RTN,Capital Goods
ROLL,Capital Goods
RETO,Capital Goods
REVG,Capital Goods
RFIL,Capital Goods
ROK,Capital Goods
COL,Capital Goods
ROP,Capital Goods
RTEC,Capital Goods
SMIT,Capital Goods
ST,Capital Goods
SENS,Capital Goods
SVT,Capital Goods
SHLO,Capital Goods
SIF,Capital Goods
SSD,Capital Goods
SNA,Capital Goods
SORL,Capital Goods
SPAR,Capital Goods
SPR,Capital Goods
SMP,Capital Goods
SWJ,Capital Goods
SWK,Capital Goods
SWP,Capital Goods
SPLP,Capital Goods
SRI,Capital Goods
STRT,Capital Goods
RGR,Capital Goods
SNHY,Capital Goods
RUN,Capital Goods
SUP,Capital Goods
SYPR,Capital Goods
TATT,Capital Goods
TTM,Capital Goods
TAYD,Capital Goods
TMHC,Capital Goods
TGEN,Capital Goods
TDY,Capital Goods
TNAV,Capital Goods
TIK,Capital Goods
TEN,Capital Goods
TER,Capital Goods
TEX,Capital Goods
TSLA,Capital Goods
TXT,Capital Goods
XONE,Capital Goods
TMO,Capital Goods
TKR,Capital Goods
TOL,Capital Goods
TTC,Capital Goods
TOWR,Capital Goods
TM,Capital Goods
TRNS,Capital Goods
TDG,Capital Goods
TG,Capital Goods
TPH,Capital Goods
TRS,Capital Goods
TRMB,Capital Goods
TRN,Capital Goods
TGI,Capital Goods
USCR,Capital Goods
UFPT,Capital Goods
UFAB,Capital Goods
UAMY,Capital Goods
UTX,Capital Goods
OLED,Capital Goods
UQM,Capital Goods
USG,Capital Goods
VMI,Capital Goods
VREX,Capital Goods
VEDL,Capital Goods
VICR,Capital Goods
VSH,Capital Goods
VPG,Capital Goods
VSTO,Capital Goods
VC,Capital Goods
VSLR,Capital Goods
VJET,Capital Goods
WNC,Capital Goods
WBC,Capital Goods
WAT,Capital Goods
WTS,Capital Goods
WAIR,Capital Goods
WAB,Capital Goods
WTT,Capital Goods
WKHS,Capital Goods
WOR,Capital Goods
XCRA,Capital Goods
XYL,Capital Goods
YECO,Capital Goods
ZKIN,Capital Goods
XXII,Consumer Non-Durables
GOLF,Consumer Non-Durables
AGRO,Consumer Non-Durables
ALCO,Consumer Non-Durables
MO,Consumer Non-Durables
ABEV,Consumer Non-Durables
DIT,Consumer Non-Durables
ALN,Consumer Non-Durables
ANFI,Consumer Non-Durables
BUD,Consumer Non-Durables
AXE,Consumer Non-Durables
ATR,Consumer Non-Durables
ADM,Consumer Non-Durables
